center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
338	377	1414	4	3117	16	14908	11
375	330	2365	2	9019	4	5283	12
345	302	801	2	1054	2	4656	3
292	236	983	2	1172	2	5800	3
181	157	2041	6	703	2	5109	3
195	153	849	2	15732	2	5186	3
31	82	1679	2	5125	2	14434	3
374	59	3971	2	1846	2	5772	3
382	47	1334	7	4523	2	12834	3
49	10	1640	2	2753	3	5396	3
374	330	2288	2	8791	4	5163	8
374	330	2288	2	8791	4	5163	8
380	243	2436	2	9777	2	2320	3
194	153	883	2	15121	2	5070	3
194	153	883	2	15121	2	5070	3
