center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
250	341	1544	2	1213	2	5742	3
278	299	2303	4	2958	3	5513	3
277	285	1604	22	3317	41	15519	32
288	264	1613	4	2134	2	16821	3
289	224	2074	3	1173	2	5799	3
295	186	1331	2	1166	2	5696	3
301	144	2400	2	9113	2	5272	3
203	81	1861	6	1820	2	14445	3
327	69	1347	2	1811	2	7539	3
345	35	1108	4	2002	2	12186	3
383	9	1375	2	3310	2	6586	3
299	157	3751	2	10052	2	2332	3
301	144	2400	2	9113	2	5272	3
360	22	4328	4	18150	2	2684	3
