center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
161	377	17947	213	17059	255	2432	32
273	211	6867	71	14813	231	2141	32
43	193	5323	33	9526	166	5662	95
264	194	4474	22	5798	37	11405	98
17	153	12919	101	2016	39	6007	83
134	137	11768	109	810	11	5839	87
42	92	8739	97	9037	137	5214	85
43	193	5323	33	9526	166	5662	95
270	202	8068	77	8027	45	4955	26
18	153	11683	160	2010	40	6054	85
17	153	12919	101	2016	39	6007	83
42	92	8739	97	9037	137	5214	85
