center	of mass	green			blue			red		
center_x	center_y	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity
121	369	1647	13	164	1706	20	170	12944	204	1294
321	360	2920	28	292	1977	16	197	6304	89	630
340	281	947	11	94	7793	112	779	2964	43	296
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
221	170	1248	3	124	1865	21	186	14688	194	1468
371	102	5145	62	514	715	10	71	5390	74	539
276	97	2988	42	298	8533	106	853	4966	65	496
120	367	1921	10	192	1220	18	122	9049	162	904
320	366	3773	69	377	5278	75	527	6328	78	632
340	305	896	13	89	1217	18	121	5974	64	597
339	277	1015	10	101	8164	123	816	3048	38	304
339	279	816	13	81	7758	122	775	2858	42	285
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
222	170	1267	16	126	1912	27	191	15081	189	1508
221	170	1248	3	124	1865	21	186	14688	194	1468
276	97	2988	42	298	8533	106	853	4966	65	496
